Site,Sample Date,pH †(Unit),Alkalinity (mg/L CaCO3),Calcium (mg/L),Specific Conductance ( µS/cm), Temperature † (°F),ortho-Phosphate †† (mg/L),Lead (µg/L),Copper (mg/L)
1S03B,10/25/2022,7.52,,,94,61,2.13,,
1SCH3,10/25/2022,7.27,,,91,61,2.16,,
1SCL1,10/25/2022,7.35,,,90,63,2.12,,
1S03,10/25/2023,7.27,,,95,59,2.15,,
1S03A,10/25/2023,7.4,,,93,59,2.1,,
1S03B,10/25/2023,7.71,,,96,59,1.72,,
1SCH3,10/25/2023,7.23,,,461,54,2.08,,
1SCL1,10/25/2023,7.34,,,461,54,2.47,,
1S02B,10/25/2024,7.47,,,93,61,2.13,,
1S03,10/25/2024,7.29,,,94,61,2.02,,
1S03A,10/25/2024,7.28,,,91,61,2.05,,
1SCH3,10/25/2024,7.28,,,386,64,2,,
1SCL1,10/25/2024,7.28,,,384,64,2.21,,
1S03A,10/26/2014,7.27,,,81,59,2.08,,
1S03B,10/26/2014,7.52,,,84,59,2.03,,
1S04,10/26/2014,7.3,,,83,59,1.94,,
1S03A,10/26/2015,7.25,,,89,59,2.12,,
1S03B,10/26/2015,7.36,,,94,58,2.22,,
1S07,10/26/2015,7.3,,,90,58,2.38,,
1SCL1,10/26/2015,7.3,,,496,62,2.07,,
1S03A,10/26/2016,7.38,,,90,58,2.05,,
1S03B,10/26/2016,7.45,,,94,58,2.11,,
1S07,10/26/2016,7.25,,,93,59,2.04,,
1SCH3,10/26/2016,7.45,,,92,60,2.02,,
1SCL1,10/26/2016,7.06,,,460,54,2.11,,
1S03,10/26/2018,7.31,,,98,57,2.25,,
1S03A,10/26/2018,7.34,,,92,57,2.13,,
1S03B,10/26/2018,7.47,,,98,57,1.99,,
1SCL1,10/26/2018,7.25,,,286,59,2.14,,
1S03,10/26/2019,7.38,,,86,59,2.27,,
1S03A,10/26/2019,7.33,,,83,61,2.21,,
1S03B,10/26/2019,7.57,,,84,59,2.2,,
1SCL1,10/26/2019,7.35,,,318,61,2.05,,
1S03,10/26/2020,7.32,,,88,61,2.09,,
1S03A,10/26/2020,7.33,,,84,61,2.18,,
1S03B,10/26/2020,7.42,,,88,61,2.13,,
1S03,10/26/2021,7.22,,,95,63,2.17,,
1S03A,10/26/2021,7.18,,,95,63,2.13,,
1S03B,10/26/2021,7.29,,,95,63,2.18,,
1SCH3,10/26/2021,7.21,,,385,64,2,,
1SCL1,10/26/2021,7.22,,,385,66,2.15,,
1S03,10/26/2022,7.36,,,92,61,2.31,,
1S03A,10/26/2022,7.19,,,86,61,2.03,,
1S03B,10/26/2022,7.46,,,92,61,2.16,,
1SCH3,10/26/2022,7.34,,,90,61,2.27,,
1SCL1,10/26/2022,7.37,,,89,61,2.22,,
1S03,10/26/2023,7.31,,,93,59,2.03,,
1S03A,10/26/2023,7.41,,,92,59,2.18,,
1S03B,10/26/2023,7.82,,,95,59,1.84,,
1SCH3,10/26/2023,7.29,,,459,54,2.07,,
1SCL1,10/26/2023,7.31,,,456,55,2.49,,
1S02B,10/26/2024,7.5,,,92,63,2.04,,
1S03,10/26/2024,7.24,,,94,61,2.01,,
1S03A,10/26/2024,7.26,,,91,61,1.96,,
1SCH3,10/26/2024,7.27,,,385,63,2.07,,
1SCL1,10/26/2024,7.23,,,385,64,2.1,,
1S03A,10/27/2014,7.28,,,83,60,2.31,,
1S03B,10/27/2014,7.45,,,86,60,2.13,,
1S04,10/27/2014,7.3,,,84,59,2.01,,
1S03A,10/27/2015,7.43,,,90,59,2.14,,
1S03B,10/27/2015,7.5,,,95,58,2.11,,
1S07,10/27/2015,7.27,,,92,59,1.99,,
1SCL1,10/27/2015,7.03,,,505,59,2.23,,
1S03A,10/27/2016,7.37,,,90,57,2.04,,
1S03B,10/27/2016,7.5,,,95,57,1.91,,
1S07,10/27/2016,7.32,,,93,59,2.02,,
1SCH3,10/27/2016,7.37,,,90,58,1.95,,
1SCL1,10/27/2016,7.16,,,487,54,2,,
1S03,10/27/2018,7.29,,,97,57,1.92,,
1S03A,10/27/2018,7.29,,,85,58,2.03,,
1S03B,10/27/2018,7.55,,,94,57,2.2,,
1SCL1,10/27/2018,7.27,,,291,59,2.11,,
1S03,10/27/2019,7.37,,,85,59,2.11,,
1S03A,10/27/2019,7.31,,,84,59,2.02,,
1S03B,10/27/2019,7.39,,,86,59,2.15,,
1SCL1,10/27/2019,7.29,,,357,61,2.05,,
1S03,10/27/2020,7.31,,,87,61,2.06,,
1S03A,10/27/2020,7.32,,,84,61,2.09,,
1S03B,10/27/2020,7.52,,,88,61,2.11,,
1SCL1,10/27/2020,7.28,,,279,63,1.99,,
1S03,10/27/2021,7.24,,,92,61,2.22,,
1S03A,10/27/2021,7.21,,,85,61,1.98,,
1S03B,10/27/2021,7.41,,,92,61,2.12,,
1SCH3,10/27/2021,7.33,,,381,64,2.14,,
1SCL1,10/27/2021,7.31,,,384,66,2.43,,
1S03,10/27/2022,7.25,,,91,61,2.07,,
1S03A,10/27/2022,7.24,,,87,61,2.06,,
1S03B,10/27/2022,7.49,,,94,61,2.19,,
1SCH3,10/27/2022,7.52,,,94,61,2.25,,
1SCL1,10/27/2022,7.45,,,92,63,2.19,,
1S03,10/27/2023,7.42,,,95,59,2.04,,
1S03A,10/27/2023,7.51,,,91,59,2.13,,
1S03B,10/27/2023,7.76,,,95,61,1.87,,
1SCH3,10/27/2023,7.28,,,460,54,2.05,,
1SCL1,10/27/2023,7.4,,,461,55,2.49,,
1S02B,10/27/2024,7.43,,,94,61,2.04,,
1S03,10/27/2024,7.25,,,95,59,2,,
1S03A,10/27/2024,7.24,,,91,59,2.09,,
1SCH3,10/27/2024,7.27,,,391,63,2.01,,
1SCL1,10/27/2024,7.21,,,387,64,1.95,,
1S03A,10/28/2014,7.29,,,82,59,2.19,,
1S03B,10/28/2014,7.57,,,86,59,2.03,,
1S04,10/28/2014,7.25,,,84,61,2.1,,
1S03A,10/28/2015,7.24,,,89,58,2.17,,
1S03B,10/28/2015,7.34,,,94,58,2.29,,
1S07,10/28/2015,7.29,,,91,58,2.46,,
1SCL1,10/28/2015,7.27,,,513,56,2.32,,
1S03A,10/28/2016,7.3,,,90,57,2.13,,
1S03B,10/28/2016,7.5,,,93,57,2.07,,
1S07,10/28/2016,7.45,,,93,58,1.78,,
1SCL1,10/28/2016,7.15,,,479,54,2.06,,
1S03,10/28/2018,7.3,,,99,56,2.04,,
1S03A,10/28/2018,7.26,,,82,57,2.13,,
1S03B,10/28/2018,7.47,,,83,57,1.95,,
1SCL1,10/28/2018,7.2,,,319,59,2.19,,
1S03,10/28/2019,7.26,,,85,59,2.17,,
1S03A,10/28/2019,7.3,,,82,59,2.11,,
1S03B,10/28/2019,7.46,,,86,61,2.17,,
1SCL1,10/28/2019,7.26,,,350,61,1.99,,
1S03,10/28/2020,7.21,,,87,61,2.1,,
1S03A,10/28/2020,7.15,,,86,61,2.14,,
1S03B,10/28/2020,7.46,,,89,61,2.07,,
1SCL1,10/28/2020,7.25,,,378,63,1.82,,
1S03,10/28/2021,7.2,,,90,61,2.05,,
1S03A,10/28/2021,7.27,,,85,61,2.02,,
1S03B,10/28/2021,7.35,,,90,61,2.09,,
1SCH3,10/28/2021,7.3,,,382,64,2.16,,
1SCL1,10/28/2021,7.3,,,383,66,2.21,,
1S03,10/28/2022,7.27,,,92,59,2.04,,
1S03A,10/28/2022,7.24,,,88,59,2.09,,
1S03B,10/28/2022,7.47,,,93,59,2.22,,
1SCH3,10/28/2022,7.44,,,93,61,2.36,,
1SCL1,10/28/2022,7.46,,,92,63,2.15,,
1S03,10/28/2023,7.3,,,94,59,2.13,,
1S03A,10/28/2023,7.33,,,91,59,2.13,,
1S03B,10/28/2023,7.63,,,96,61,2.26,,
1SCH3,10/28/2023,7.32,,,458,54,2.1,,
1SCL1,10/28/2023,7.29,,,458,54,2.43,,
1S02B,10/28/2024,7.42,,,95,61,2.09,,
1S03,10/28/2024,7.29,,,94,59,2,,
1S03A,10/28/2024,7.31,,,92,59,2.05,,
1SCH3,10/28/2024,7.28,,,391,63,1.98,,
1SCL1,10/28/2024,7.24,,,389,64,2.27,,
1S03A,10/29/2014,7.33,,,83,59,2.18,,
1S03B,10/29/2014,7.6,,,87,59,2.14,,
1S04,10/29/2014,7.42,,,85,60,2.15,,
1S03A,10/29/2015,7.47,,,90,59,2.19,,
1S03B,10/29/2015,7.52,,,93,59,2.24,,
1S07,10/29/2015,7.32,,,91,59,2.26,,
1SCL1,10/29/2015,7.44,,,513,56,2.29,,
1S03A,10/29/2016,7.31,,,91,58,2.14,,
1S03B,10/29/2016,7.55,,,95,57,2.02,,
1S07,10/29/2016,7.29,,,93,58,1.98,,
1SCH3,10/29/2016,7.28,,,180,55,1.97,,
1SCL1,10/29/2016,7.18,,,477,55,2,,
1S03,10/29/2018,7.38,,,96,56,1.95,,
1S03A,10/29/2018,7.39,,,95,56,1.99,,
1S03B,10/29/2018,7.6,,,98,56,1.97,,
1SCL1,10/29/2018,7.11,,,300,58,1.96,,
1S03,10/29/2019,7.4,,,86,59,2.23,,
1S03A,10/29/2019,7.4,,,84,59,2.16,,
1S03B,10/29/2019,7.57,,,87,59,2.12,,
1SCL1,10/29/2019,7.3,,,336,61,2.11,,
1S03,10/29/2020,7.24,,,87,61,2.08,,
1S03A,10/29/2020,7.13,,,85,61,2.16,,
1S03B,10/29/2020,7.45,,,86,61,2.07,,
1SCL1,10/29/2020,7.2,,,368,63,1.94,,
1S03,10/29/2021,7.21,,,88,59,2.16,,
1S03A,10/29/2021,7.2,,,85,59,2.19,,
1S03B,10/29/2021,7.14,,,89,59,2.21,,
1SCH3,10/29/2021,7.22,,,377,63,2.17,,
1SCL1,10/29/2021,7.25,,,384,64,2.14,,
1S03,10/29/2022,7.33,,,92,59,2,,
1S03A,10/29/2022,7.23,,,86,59,2.05,,
1S03B,10/29/2022,7.46,,,89,57,2.21,,
1SCH3,10/29/2022,7.44,,,88,61,2.16,,
1SCL1,10/29/2022,7.39,,,89,63,2.19,,
1S03,10/29/2023,7.36,,,95,59,2.15,,
1S03A,10/29/2023,7.36,,,94,59,2.08,,
1S03B,10/29/2023,7.63,,,97,61,2.11,,
1SCH3,10/29/2023,7.27,,,459,54,1.99,,
1SCL1,10/29/2023,7.39,,,459,55,2.23,,
1S02B,10/29/2024,7.5,,,96,61,2.01,,
1S03,10/29/2024,7.28,,,95,59,2.03,,
1S03A,10/29/2024,7.3,,,92,59,2.03,,
1SCH3,10/29/2024,7.27,,,388,63,1.99,,
1SCL1,10/29/2024,7.24,,,388,63,2.25,,
1S03A,10/30/2014,7.18,,,83,59,2.21,,
1S03B,10/30/2014,7.56,,,87,59,2.09,,
1S04,10/30/2014,7.37,,,86,59,2.08,,
1S03A,10/30/2015,7.39,,,89,58,2.33,,
1S03B,10/30/2015,7.44,,,94,58,2.19,,
1S07,10/30/2015,7.36,,,91,58,2.25,,
1SCL1,10/30/2015,7.23,,,515,57,2.23,,
1S03A,10/30/2016,7.2,,,91,59,2.06,,
1S03B,10/30/2016,7.35,,,95,58,1.99,,
1S07,10/30/2016,7.38,,,92,59,2.14,,
1SCH3,10/30/2016,7.3,,,92,58,1.97,,
1SCL1,10/30/2016,7.04,,,486,54,2.05,,
1S03,10/30/2018,7.33,,,98,56,2.03,,
1S03A,10/30/2018,7.45,,,97,56,2.19,,
1S03B,10/30/2018,7.56,,,100,58,2.07,,
1SCL1,10/30/2018,7.13,,,333,59,2.23,,
1S03,10/30/2019,7.42,,,86,59,2.2,,
1S03A,10/30/2019,7.2,,,82,59,2.02,,
1S03B,10/30/2019,7.49,,,84,59,1.99,,
1SCL1,10/30/2019,7.27,,,359,61,1.98,,
1S03,10/30/2020,7.27,,,88,59,2.1,,
1S03A,10/30/2020,7.26,,,88,59,2.17,,
1S03B,10/30/2020,7.45,,,89,57,2.09,,
1SCL1,10/30/2020,7.29,,,308,63,1.98,,
1S03,10/30/2021,7.29,,,90,59,2.07,,
1S03A,10/30/2021,7.09,,,86,59,2.09,,
1S03B,10/30/2021,7.3,,,92,59,2.01,,
1SCH3,10/30/2021,7.29,,,383,63,2.13,,
1SCL1,10/30/2021,7.28,,,385,64,2.11,,
1S03,10/30/2022,7.33,,,92,59,2.05,,
1S03A,10/30/2022,7.15,,,86,59,2.12,,
1S03B,10/30/2022,7.38,,,90,59,2.2,,
1SCH3,10/30/2022,7.35,,,90,59,2.2,,
1SCL1,10/30/2022,7.36,,,89,61,2.2,,
1S03,10/30/2023,7.42,,,94,59,2.08,,
1S03A,10/30/2023,7.42,,,91,59,2.09,,
1S03B,10/30/2023,7.85,,,94,59,1.88,,
1SCH3,10/30/2023,7.3,,,456,54,1.99,,
1SCL1,10/30/2023,7.32,,,454,54,2.26,,
1S02B,10/30/2024,7.5,,,95,61,2.03,,
1S03,10/30/2024,7.17,,,97,59,2.16,,
1S03A,10/30/2024,7.28,,,93,59,2.08,,
1SCH3,10/30/2024,7.15,,,378,63,2.03,,
1SCL1,10/30/2024,7.2,,,384,63,2.21,,
1S03A,10/31/2014,7.17,,,82,58,2.16,,
1S03B,10/31/2014,7.41,,,84,58,2.21,,
1S04,10/31/2014,7.35,,,84,58,1.97,,
1S03A,10/31/2015,7.31,,,91,58,2.04,,
1S03B,10/31/2015,7.48,,,94,57,2.08,,
1S07,10/31/2015,7.55,,,92,56,2.04,,
1SCL1,10/31/2015,7.31,,,515,57,2.11,,
1S03A,10/31/2016,7.19,,,89,57,2.25,,
1S03B,10/31/2016,7.34,,,94,57,2.07,,
1S07,10/31/2016,7.42,,,93,57,2.07,,
1SCH3,10/31/2016,7.43,,,91,58,2.09,,
1SCL1,10/31/2016,7.1,,,487,54,1.98,,
1S03,10/31/2018,7.29,,,97,55,2.17,,
1S03A,10/31/2018,7.38,,,96,56,2.15,,
1S03B,10/31/2018,7.5,,,99,56,2.04,,
1SCL1,10/31/2018,7.11,,,325,58,2.3,,
1S03,10/31/2019,7.37,,,86,59,1.93,,
1S03A,10/31/2019,7.36,,,83,59,2.1,,
1S03B,10/31/2019,7.71,,,88,59,1.99,,
1SCL1,10/31/2019,7.28,,,389,61,1.84,,
1S03,10/31/2020,7.27,,,87,59,2.07,,
1S03A,10/31/2020,7.18,,,86,59,2.19,,
1S03B,10/31/2020,7.37,,,87,59,2.16,,
1SCL1,10/31/2020,7.31,,,286,61,2.19,,
1S03,10/31/2021,7.35,,,91,59,2.16,,
1S03A,10/31/2021,7.1,,,87,59,2.14,,
1S03B,10/31/2021,7.31,,,90,59,2.13,,
1SCH3,10/31/2021,7.35,,,386,63,2.04,,
1SCL1,10/31/2021,7.34,,,386,64,2.08,,
1S03,10/31/2022,7.34,,,92,59,2.22,,
1S03A,10/31/2022,7.32,,,86,59,2.17,,
1S03B,10/31/2022,7.45,,,92,59,2.28,,
1SCH3,10/31/2022,7.34,,,88,59,2.22,,
1SCL1,10/31/2022,7.36,,,89,61,2.28,,
1S03,10/31/2023,7.35,,,93,59,2.04,,
1S03A,10/31/2023,7.28,,,90,59,2.1,,
1S03B,10/31/2023,7.57,,,95,59,1.88,,
1SCH3,10/31/2023,7.35,,,458,54,2.09,,
1SCL1,10/31/2023,7.35,,,457,55,2.26,,
1S02B,10/31/2024,7.4,,,95,61,2.01,,
1S03,10/31/2024,7.23,,,95,59,1.97,,
1S03A,10/31/2024,7.28,,,93,59,2.04,,
1SCH3,10/31/2024,7.23,,,388,63,2.03,,
1SCL1,10/31/2024,7.19,,,384,63,2.27,,
1S03A,11/13/2014,7.26,,,83,54,2.21,,
1S03B,11/13/2014,7.49,,,87,54,2.17,,
1S04,11/13/2014,7.3,,,87,54,2.18,,
1S03A,11/13/2015,7.39,,,90,56,2.13,,
1S03B,11/13/2015,7.52,,,91,56,2.21,,
1S07,11/13/2015,7.25,,,92,56,2.32,,
1SCL1,11/13/2015,7.35,,,447,58,2.23,,
1S03A,11/13/2016,7.38,,,90,54,2,,
1S03B,11/13/2016,7.43,,,92,54,2.08,,
1S07,11/13/2016,7.36,,,89,55,2.27,,
1SCH3,11/13/2016,7.11,,,503,55,2.23,,
1SCL1,11/13/2016,7.2,,,507,55,2.01,,
1S03,11/13/2018,7.29,,,114,53,1.94,,
1S03A,11/13/2018,7.31,,,112,53,2.31,,
1S03B,11/13/2018,7.37,,,115,53,2,,
1SCL1,11/13/2018,7.25,,,448,56,1.99,,
1S03,11/13/2019,7.13,,,86,52,2.18,,
1S03A,11/13/2019,7.25,,,86,54,2.14,,
1S03B,11/13/2019,7.62,,,87,54,1.79,,
1SCH3,11/13/2019,7.22,,,417,55,2.17,,
1SCL1,11/13/2019,7.24,,,415,55,2.19,,
1S03,11/13/2020,7.15,,,87,55,2.07,,
1S03A,11/13/2020,7.16,,,83,55,2.24,,
1S03B,11/13/2020,7.35,,,87,57,2.11,,
1SCL1,11/13/2020,7.21,,,407,59,2.08,,
1S03,11/13/2021,7.15,,,96,57,2.1,,
1S03A,11/13/2021,7.07,,,91,57,2.12,,
1S03B,11/13/2021,7.21,,,94,57,2.13,,
1SCH3,11/13/2021,7.26,,,390,59,2.13,,
1SCL1,11/13/2021,7.24,,,391,61,2.1,,
1S03,11/13/2022,7.22,,,87,59,2.03,,
1S03A,11/13/2022,7.2,,,87,59,2.13,,
1S03B,11/13/2022,7.44,,,89,57,2.19,,
1SCH3,11/13/2022,7.41,,,89,59,2.2,,
1SCL1,11/13/2022,7.46,,,90,61,2.18,,
1S03,11/13/2023,7.34,,,97,54,2.1,,
1S03A,11/13/2023,7.35,,,92,55,2.26,,
1S03B,11/13/2023,7.62,,,99,54,2.17,,
1S02B,11/13/2024,7.39,,,98,57,2.04,,
1S03,11/13/2024,7.37,,,98,55,1.83,,
1S03A,11/13/2024,7.25,,,95,55,2.01,,
1SCH3,11/13/2024,7.22,,,393,59,2.05,,
1SCL1,11/13/2024,7.16,,,390,61,2.18,,
1S03A,11/14/2014,7.22,,,83,53,2.16,,
1S03B,11/14/2014,7.48,,,86,53,2,,
1S04,11/14/2014,7.31,,,85,53,2.08,,
1S03A,11/14/2015,7.38,,,90,55,2.06,,
1S03B,11/14/2015,7.49,,,93,55,2.01,,
1S07,11/14/2015,7.35,,,92,55,2.01,,
1SCL1,11/14/2015,7.29,,,517,58,2.11,,
1S03A,11/14/2016,7.3,,,91,54,2.06,,
1S03B,11/14/2016,7.54,,,96,53,2.14,,
1S07,11/14/2016,7.27,,,93,55,2.24,,
1SCH3,11/14/2016,7.19,,,504,55,2.15,,
1SCL1,11/14/2016,7.27,,,505,55,1.97,,
1S03,11/14/2018,7.34,,,115,52,2.01,,
1S03A,11/14/2018,7.3,,,114,51,2.11,,
1S03B,11/14/2018,7.31,,,117,52,2.07,,
1SCL1,11/14/2018,7.24,,,453,55,2.09,,
1S03,11/14/2019,7.27,,,88,52,2.16,,
1S03A,11/14/2019,7.3,,,86,54,2.21,,
1S03B,11/14/2019,7.54,,,89,54,1.94,,
1SCH3,11/14/2019,7.27,,,419,55,2.18,,
1SCL1,11/14/2019,7.26,,,419,55,2.31,,
1S03,11/14/2020,7.18,,,86,55,2.07,,
1S03A,11/14/2020,7.2,,,85,55,2.1,,
1S03B,11/14/2020,7.36,,,87,55,2.06,,
1SCL1,11/14/2020,7.36,,,408,59,1.85,,
1S03,11/14/2021,7.21,,,99,55,2.17,,
1S03A,11/14/2021,7.13,,,93,55,2.19,,
1S03B,11/14/2021,7.27,,,98,55,2.14,,
1SCH3,11/14/2021,7.26,,,392,59,2.08,,
1SCL1,11/14/2021,7.27,,,394,59,2.12,,
1S03,11/14/2022,7.16,,,88,59,2.15,,
1S03A,11/14/2022,7.17,,,88,59,2.14,,
1S03B,11/14/2022,7.42,,,90,57,2.19,,
1SCH3,11/14/2022,7.43,,,90,57,2.17,,
1SCL1,11/14/2022,7.44,,,91,59,2.2,,
1S03,11/14/2023,7.35,,,95,54,2.12,,
1S03A,11/14/2023,7.36,,,95,54,2.19,,
1S03B,11/14/2023,7.6,,,99,54,2.12,,
1S02B,11/14/2024,7.4,,,98,57,2.05,,
1S03,11/14/2024,7.21,,,96,55,2.05,,
1S03A,11/14/2024,7.28,,,95,55,2.02,,
1SCH3,11/14/2024,7.21,,,395,59,1.96,,
1SCL1,11/14/2024,7.14,,,390,59,2.33,,
1S03A,11/15/2014,7.37,,,83,53,2.11,,
1S03B,11/15/2014,7.52,,,88,53,1.97,,
1S04,11/15/2014,7.29,,,86,52,2.1,,
1S03A,11/15/2015,7.44,,,90,57,1.97,,
1S03B,11/15/2015,7.49,,,93,57,1.96,,
1S07,11/15/2015,7.15,,,90,55,2.09,,
1SCL1,11/15/2015,7.27,,,518,58,1.97,,
1S03A,11/15/2016,7.29,,,89,54,2.19,,
1S03B,11/15/2016,7.55,,,96,54,2.11,,
1S07,11/15/2016,7.39,,,92,55,2.08,,
1SCH3,11/15/2016,7.17,,,503,55,2.14,,
1SCL1,11/15/2016,7.36,,,505,55,1.9,,
1S03,11/15/2018,7.37,,,115,51,1.94,,
1S03A,11/15/2018,7.22,,,112,49,2.04,,
1S03B,11/15/2018,7.37,,,113,51,2.02,,
1SCL1,11/15/2018,7.26,,,446,54,2.07,,
1S03,11/15/2019,7.23,,,83,52,2.26,,
1S03A,11/15/2019,7.14,,,84,52,2.14,,
1S03B,11/15/2019,7.4,,,85,54,1.86,,
1SCH3,11/15/2019,7.24,,,419,55,2.12,,
1SCL1,11/15/2019,7.24,,,419,55,2.28,,
1S03,11/15/2020,7.27,,,89,55,1.99,,
1S03A,11/15/2020,7.31,,,86,55,2.1,,
1S03B,11/15/2020,7.51,,,88,55,2.05,,
1SCL1,11/15/2020,7.28,,,371,59,1.78,,
1S03,11/15/2021,7.25,,,95,55,2.15,,
1S03A,11/15/2021,7.1,,,86,55,2.23,,
1S03B,11/15/2021,7.25,,,94,55,2.13,,
1SCH3,11/15/2021,7.35,,,390,57,2.1,,
1SCL1,11/15/2021,7.36,,,386,59,2.01,,
1S03,11/15/2022,7.08,,,86,57,2.09,,
1S03A,11/15/2022,7.18,,,88,57,2.13,,
1S03B,11/15/2022,7.39,,,90,55,2.23,,
1SCH3,11/15/2022,7.35,,,90,57,2.2,,
1SCL1,11/15/2022,7.38,,,91,59,2.2,,
1S03,11/15/2023,7.35,,,99,54,2.08,,
1S03A,11/15/2023,7.34,,,98,54,2.14,,
1S03B,11/15/2023,7.63,,,101,54,2.31,,
1S02B,11/15/2024,7.37,,,99,57,2.1,,
1S03,11/15/2024,7.2,,,97,55,2.09,,
1S03A,11/15/2024,7.21,,,96,55,2.03,,
1SCH3,11/15/2024,7.24,,,391,59,1.86,,
1SCL1,11/15/2024,7.19,,,386,59,2.17,,
1S03A,11/16/2014,7.29,,,83,53,2.17,,
1S03B,11/16/2014,7.47,,,87,52,1.97,,
1S04,11/16/2014,7.27,,,86,52,2.15,,
1S03A,11/16/2015,7.27,,,90,56,2.18,,
1S03B,11/16/2015,7.33,,,94,56,2.29,,
1S07,11/16/2015,7.4,,,92,56,2.19,,
1SCL1,11/16/2015,7.31,,,448,57,2.27,,
1S03A,11/16/2016,7.34,,,90,54,2.36,,
1S03B,11/16/2016,7.45,,,95,54,1.98,,
1S07,11/16/2016,7.19,,,88,55,2.38,,
1SCH3,11/16/2016,7.22,,,503,55,2.04,,
1SCL1,11/16/2016,7.22,,,499,55,1.96,,
1S03,11/16/2018,7.51,,,113,50,2,,
1S03A,11/16/2018,7.39,,,101,51,2.15,,
1S03B,11/16/2018,7.44,,,112,50,2.05,,
1SCL1,11/16/2018,7.26,,,452,54,2.13,,
1S03,11/16/2019,7.32,,,89,52,2.15,,
1S03A,11/16/2019,7.09,,,83,52,2.23,,
1S03B,11/16/2019,7.38,,,87,52,1.66,,
1SCH3,11/16/2019,7.3,,,420,54,2.1,,
1SCL1,11/16/2019,7.2,,,420,55,2.15,,
1S03,11/16/2020,7.19,,,89,55,2.12,,
1S03A,11/16/2020,7.17,,,84,55,2.23,,
1S03B,11/16/2020,7.29,,,89,55,2.07,,
1SCL1,11/16/2020,7.21,,,403,59,2.04,,
1S03,11/16/2021,7.25,,,95,54,2.2,,
1S03A,11/16/2021,7.2,,,95,55,2.16,,
1S03B,11/16/2021,7.24,,,96,55,2.09,,
1SCH3,11/16/2021,7.26,,,389,57,2.24,,
1SCL1,11/16/2021,7.25,,,396,59,2.2,,
1S03,11/16/2022,7.14,,,88,55,2.04,,
1S03A,11/16/2022,7.11,,,87,55,2.09,,
1S03B,11/16/2022,7.29,,,89,55,2.16,,
1SCH3,11/16/2022,7.22,,,89,55,2.14,,
1SCL1,11/16/2022,7.24,,,90,59,2.16,,
1S03,11/16/2023,7.34,,,98,54,2.11,,
1S03A,11/16/2023,7.32,,,101,54,2.06,,
1S03B,11/16/2023,7.58,,,103,54,2.06,,
1S02B,11/16/2024,7.37,,,100,57,2.13,,
1S03,11/16/2024,7.22,,,94,54,2.04,,
1S03A,11/16/2024,7.21,,,93,55,2.03,,
1SCH3,11/16/2024,7.24,,,387,57,1.95,,
1SCL1,11/16/2024,7.15,,,382,59,2.23,,
1S03A,11/17/2014,7.2,,,83,53,2.21,,
1S03B,11/17/2014,7.46,,,88,52,2.06,,
1S04,11/17/2014,7.47,,,86,52,2.06,,
1S03A,11/17/2015,7.3,,,91,54,2.16,,
1S03B,11/17/2015,7.4,,,93,52,2.01,,
1S07,11/17/2015,7.36,,,92,55,2.06,,
1SCL1,11/17/2015,7.24,,,458,60,2.39,,
1S03A,11/17/2016,7.33,,,90,55,2.2,,
1S03B,11/17/2016,7.5,,,95,53,2.21,,
1S07,11/17/2016,7.29,,,93,55,1.72,,
1SCH3,11/17/2016,7.25,,,505,54,2.14,,
1SCL1,11/17/2016,7.25,,,490,55,2.02,,
1S03,11/17/2018,7.27,,,110,51,2.06,,
1S03A,11/17/2018,7.28,,,111,51,2.18,,
1S03B,11/17/2018,7.36,,,112,51,2.41,,
1SCL1,11/17/2018,7.24,,,443,53,2.18,,
1S03,11/17/2019,7.22,,,88,52,2.18,,
1S03A,11/17/2019,7.23,,,81,52,2.13,,
1S03B,11/17/2019,7.59,,,85,52,1.4,,
1SCH3,11/17/2019,7.39,,,420,54,2.22,,
1SCL1,11/17/2019,7.29,,,420,54,2.12,,
1S03,11/17/2020,7.12,,,88,54,2.16,,
1S03A,11/17/2020,7.22,,,85,54,2.15,,
1S03B,11/17/2020,7.46,,,89,54,2.01,,
1SCL1,11/17/2020,7.25,,,405,57,1.99,,
1S03,11/17/2021,7.23,,,96,54,2.1,,
1S03A,11/17/2021,7.2,,,90,55,2.07,,
1S03B,11/17/2021,7.32,,,95,54,2.14,,
1SCH3,11/17/2021,7.25,,,393,57,2.24,,
1SCL1,11/17/2021,6.81,,,387,63,2.46,,
1S03,11/17/2022,7.06,,,86,55,2.12,,
1S03A,11/17/2022,7.15,,,88,55,2.07,,
1S03B,11/17/2022,7.33,,,90,55,2.15,,
1SCH3,11/17/2022,7.31,,,90,55,2.15,,
1SCL1,11/17/2022,7.37,,,91,59,2.12,,
1S03,11/17/2023,7.33,,,100,54,2,,
1S03A,11/17/2023,7.44,,,101,54,2.09,,
1S03B,11/17/2023,7.64,,,103,54,2.14,,
1S02B,11/17/2024,7.34,,,98,55,2.16,,
1S03,11/17/2024,7.18,,,97,54,1.94,,
1S03A,11/17/2024,7.18,,,95,55,2.14,,
1SCH3,11/17/2024,7.12,,,387,57,2.08,,
1SCL1,11/17/2024,7.04,,,381,59,2.35,,
1S03A,11/18/2014,7.25,,,83,51,2.22,,
1S03B,11/18/2014,7.6,,,87,51,2.28,,
1S04,11/18/2014,7.34,,,86,51,2.06,,
1S03A,11/18/2015,7.32,,,89,54,2.02,,
1S03B,11/18/2015,7.26,,,94,54,1.94,,
